group_id,theme_id,phase,order_slot_1,order_slot_2,order_slot_3
G27,T1,divergence,perspective_shift,generative,elaboration_evidence
G27,T1,convergence,elaboration_evidence,perspective_shift,generative
G28,T1,divergence,generative,elaboration_evidence,perspective_shift
G28,T1,convergence,perspective_shift,generative,elaboration_evidence
G29,T1,divergence,elaboration_evidence,perspective_shift,generative
G29,T1,convergence,generative,elaboration_evidence,perspective_shift
G30,T1,divergence,perspective_shift,elaboration_evidence,generative
G30,T1,convergence,generative,perspective_shift,elaboration_evidence
G11,T2,divergence,perspective_shift,generative,elaboration_evidence
G11,T2,convergence,generative,elaboration_evidence,perspective_shift
G12,T2,divergence,generative,elaboration_evidence,perspective_shift
G12,T2,convergence,elaboration_evidence,perspective_shift,generative
G13,T2,divergence,elaboration_evidence,perspective_shift,generative
G13,T2,convergence,perspective_shift,generative,elaboration_evidence
G14,T2,divergence,perspective_shift,elaboration_evidence,generative
G14,T2,convergence,elaboration_evidence,generative,perspective_shift
G15,T2,divergence,generative,perspective_shift,elaboration_evidence
G15,T2,convergence,perspective_shift,elaboration_evidence,generative
G16,T2,divergence,elaboration_evidence,generative,perspective_shift
G16,T2,convergence,generative,perspective_shift,elaboration_evidence
G17,T2,divergence,perspective_shift,generative,elaboration_evidence
G17,T2,convergence,elaboration_evidence,perspective_shift,generative
G18,T2,divergence,generative,elaboration_evidence,perspective_shift
G18,T2,convergence,perspective_shift,generative,elaboration_evidence
G19,T2,divergence,elaboration_evidence,perspective_shift,generative
G19,T2,convergence,generative,elaboration_evidence,perspective_shift
G20,T2,divergence,perspective_shift,elaboration_evidence,generative
G20,T2,convergence,generative,perspective_shift,elaboration_evidence
G21,T2,divergence,perspective_shift,generative,elaboration_evidence
G21,T2,convergence,generative,elaboration_evidence,perspective_shift
G22,T2,divergence,generative,elaboration_evidence,perspective_shift
G22,T2,convergence,elaboration_evidence,perspective_shift,generative
G23,T2,divergence,elaboration_evidence,perspective_shift,generative
G23,T2,convergence,perspective_shift,generative,elaboration_evidence
G24,T2,divergence,perspective_shift,elaboration_evidence,generative
G24,T2,convergence,elaboration_evidence,generative,perspective_shift
G25,T2,divergence,generative,perspective_shift,elaboration_evidence
G25,T2,convergence,perspective_shift,elaboration_evidence,generative
G26,T2,divergence,elaboration_evidence,generative,perspective_shift
G26,T2,convergence,generative,perspective_shift,elaboration_evidence
G27,T2,divergence,perspective_shift,generative,elaboration_evidence
G27,T2,convergence,elaboration_evidence,perspective_shift,generative
G28,T2,divergence,generative,elaboration_evidence,perspective_shift
G28,T2,convergence,perspective_shift,generative,elaboration_evidence
G29,T2,divergence,elaboration_evidence,perspective_shift,generative
G29,T2,convergence,generative,elaboration_evidence,perspective_shift
G30,T2,divergence,perspective_shift,elaboration_evidence,generative
G30,T2,convergence,generative,perspective_shift,elaboration_evidence
